goos: darwin
goarch: arm64
pkg: github.com/kpitt/sudoku/internal/puzzle
cpu: Apple M1
BenchmarkParseString/Beginner-8         	  493411	      2431 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Beginner-8         	  492967	      2421 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Beginner-8         	  495193	      2415 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Beginner-8         	  496276	      2413 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Beginner-8         	  501265	      2416 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Beginner-8         	  499551	      2417 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Beginner-8         	  498138	      2429 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Beginner-8         	  495129	      2419 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Beginner-8         	  486094	      2424 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Beginner-8         	  494476	      2418 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Advanced-8         	  491342	      2436 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Advanced-8         	  496616	      2432 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Advanced-8         	  492291	      2436 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Advanced-8         	  495564	      2435 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Advanced-8         	  492303	      2460 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Advanced-8         	  489986	      2437 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Advanced-8         	  492548	      2419 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Advanced-8         	  497692	      2425 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Advanced-8         	  495717	      2435 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Advanced-8         	  493815	      2423 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Expert-8           	  514431	      2299 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Expert-8           	  517292	      2297 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Expert-8           	  524348	      2298 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Expert-8           	  524680	      2298 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Expert-8           	  522278	      2295 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Expert-8           	  524416	      2295 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Expert-8           	  525721	      2295 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Expert-8           	  521802	      2299 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Expert-8           	  523198	      2296 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Expert-8           	  508462	      2309 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Pro-8              	  525710	      2294 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Pro-8              	  528156	      2322 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Pro-8              	  525588	      2290 ns/op	    4672 B/op	      83 allocs/op
BenchmarkParseString/Pro-8              	  518128	      2294 ns/op	    4672 B/op	      83 allocs/op
